Perfume - Brand,Family,Subfamily,Ingredients,url
Coco Mademoiselle - Chanel,,,,https://www.wikiparfum.com/en/fragrances/valentino-donna-born-in-roma
Donna Born in Roma - Valentino,,,,https://www.wikiparfum.com/en/fragrances/coco-mademoiselle-eau-de-parfum
Miss Dior - Dior,,,,https://www.wikiparfum.com/en/fragrances/miss-dior-parfum
Good Girl Blush - Carolina Herrera,,,,https://www.wikiparfum.com/en/fragrances/good-girl-blush
Paradoxe - Prada,,,,https://www.wikiparfum.com/en/fragrances/paradoxe-1
Libre - YSL,,,,https://www.wikiparfum.com/en/fragrances/libre
Her - Burberry,,,,https://www.wikiparfum.com/en/fragrances/burberry-her
Goddess - Burberry,,,,https://www.wikiparfum.com/en/fragrances/burberry-goddess
Donna Born in Roma Green Stravaganza - Valentino,,,,https://www.wikiparfum.com/en/fragrances/valentino-donna-born-in-roma
Black Opium - YSL,,,,https://www.wikiparfum.com/en/fragrances/black-opium
Daisy Wild - Marc Jacobs,,,,https://www.wikiparfum.com/en/fragrances/daisy-wild
La Vie Est Belle - Lancome,,,,https://www.wikiparfum.com/en/fragrances/la-vie-est-belle-leau-de-parfum
Idole - Lancome,,,,https://www.wikiparfum.com/en/fragrances/idole
Chance Eau Tendre - Chanel,,,,https://www.wikiparfum.com/en/fragrances/chance-eau-tendre-eau-de-parfum-1
Flowerbomb - Viktor&Rolf,,,,https://www.wikiparfum.com/en/fragrances/flowerbomb-bloom
Peony&Blush Suede -Jo Malone,,,,https://www.wikiparfum.com/en/fragrances/peony-blush-suede
Yuja -Jo Malone,,,,https://www.wikiparfum.com/en/fragrances/yuja
English pear &Freesia -Jo Malone,,,,https://www.wikiparfum.com/en/fragrances/english-pear-freesia-1
Bitter Mandarin -Jo Malone,,,,https://www.wikiparfum.com/en/fragrances/bitter-mandarin
fleur de penu -Diptyque,,,,https://www.wikiparfum.com/en/fragrances/fleur-de-peau-eau-de-parfum-1
Eau Rose -Diptyque,,,,https://www.wikiparfum.com/en/fragrances/eau-rose-eau-de-parfum
Santal 33 -Le labo,,,,https://www.wikiparfum.com/en/fragrances/santal-33
Velvet Rose &Oud -Jo Malone,,,,https://www.wikiparfum.com/en/fragrances/velvet-rose
Chance -Chanel,,,,https://www.wikiparfum.com/en/fragrances/chance-eau-fraiche
Allure homme sport - Chanel,,,,https://www.wikiparfum.com/en/fragrances/allure-homme-sport
