Perfume,Brand,Family,Subfamily,Ingredients,url
Peony&Blush Suede -Jo Malone,,FLORAL,FLORAL,"Peony, Suede, Red Apple, Jasmine, Tuberose, Peony, Suede, Red Apple, Jasmine, Tuberose",https://www.wikiparfum.com/en/fragrances/peony-blush-suede
Yuja -Jo Malone,,CITRUS,CITRUS,"Yuzu, Clary Sage, Mandarin (green), Petitgrain, Rosemary, Cedarwood, Yuzu, Clary Sage, Mandarin (green), Petitgrain, Rosemary, Cedarwood",https://www.wikiparfum.com/en/fragrances/yuja
English pear &Freesia -Jo Malone,,FLORAL,FRUITY,"Pear, Freesia, Bergamot, Patchouli, Rose, Orange Blossom, Rhubarb, Amber, Musk, Woody Notes, Pear, Freesia, Bergamot, Patchouli, Rose, Orange Blossom, Rhubarb, Amber, Musk, Woody Notes",https://www.wikiparfum.com/en/fragrances/english-pear-freesia-1
Bitter Mandarin -Jo Malone,,CITRUS,CITRUS,"Mandarin, Amber, Citruses, Cardamom, Iris / Orris, Iso E Super (Cedarwood Note), Musk, Vetiver, Mandarin, Amber, Citruses, Cardamom, Iris / Orris, Iso E Super (Cedarwood Note), Musk, Vetiver",https://www.wikiparfum.com/en/fragrances/bitter-mandarin
fleur de penu -Diptyque,,FLORAL,MUSK SKIN,"Iris / Orris, Musk, Ambrette Seed, Rose, Pink Pepper, Ambergris, Iris / Orris, Musk, Ambrette Seed, Rose, Pink Pepper, Ambergris",https://www.wikiparfum.com/en/fragrances/fleur-de-peau-eau-de-parfum-1
Eau Rose -Diptyque,,FLORAL,FLORAL,"Rose Damascena, Rose Centifolia, Lychee, Rose, Rose Damascena, Rose Centifolia, Lychee, Rose",https://www.wikiparfum.com/en/fragrances/eau-rose-eau-de-parfum
Santal 33 -Le labo,,WOODY,WOODY,"Sandalwood (Australia), Iris / Orris, Leather, Amber, Cardamom, Cedarwood, Violet, Sandalwood (Australia), Iris / Orris, Leather, Amber, Cardamom, Cedarwood, Violet",https://www.wikiparfum.com/en/fragrances/santal-33
Velvet Rose &Oud -Jo Malone,,FLORAL,FLORAL,"Rose, Cedarwood, Lychee, Peony, Violet, Geranium, Mandarin, Peach, Pink Pepper, Raspberry, Vanilla, Rose, Cedarwood, Lychee, Peony, Violet, Geranium, Mandarin, Peach, Pink Pepper, Raspberry, Vanilla",https://www.wikiparfum.com/en/fragrances/velvet-rose
Chance -Chanel,,FLORAL,GREEN,"Hyacinth, Jasmine, Vetiver, Lemon, Iris / Orris, Musk, Patchouli, Pink Pepper, Hyacinth, Jasmine, Vetiver, Lemon, Iris / Orris, Musk, Patchouli, Pink Pepper",https://www.wikiparfum.com/en/fragrances/chance-eau-fraiche
Allure homme sport,Chanel,CITRUS,WATERY,"Mandarin, Cedarwood, Aldehyde, Neroli, Vetiver, Pepper, Tonka Bean, Amber, Mandarin, Cedarwood, Aldehyde, Neroli, Vetiver, Pepper, Tonka Bean, Amber",https://www.wikiparfum.com/en/fragrances/allure-homme-sport
