Ingredient,Count
Jasmine,16
Bergamot,14
Patchouli,12
Vanilla,12
Mandarin,10
Musk,10
Jasmine (Sambac),10
Pink Pepper,8
Pear,8
Jasmine (Grandiflorum),6
Vanilla (Bourbon),6
Rose,6
Blackcurrant Bud,6
Cedarwood,4
Blackberry,4
Cashmeran (Woody musky),4
Vanilla (Madagascar),4
Strawberry,4
Vetiver,4
Orange Blossom,4
Raspberry,2
Oakmoss,2
Lavender,2
Coffee,2
Floral Notes,2
Amber,2
Sandalwood,2
Iris (Pallida),2
Caramel,2
Rose Centifolia,2
Citruses,2
Grapefruit,2
Freesia,2
Cherry,2
Orange Blossom (Tunisia),2
Violet,2
Dry Amber,2
Ambergris,2
Petitgrain,2
Lavender (Provence),2
Orange Blossom (Morocco),2
Benzoin (Laos),2
Tangerine,2
Serenolide (Musk),2
Ambrofix (Ambergris),2
Neroli,2
Tonka Bean,2
Peony,2
Ylang-ylang (Madagascar),2
Cedarwood (Alaska),2
Rose (Turkey),2
